dataset,n,trial,model,loglik_mean,loglik_sd,alpha,beta,theta,z_method,z_error
sushi,10,0,our,-15.024235584669954,0.26004960839845015,0.2678478063498568,0.1505112641505342,,bridge_sampling,0.008121255574023328
sushi,10,0,L1,-15.035049119779169,0.15218687448555357,1.0,0.020702099496406254,,banded_dp_D=9,0.0
sushi,10,0,L2,-15.074382070222322,0.05336447005386707,2.0,0.0010000055865136144,,banded_dp_D=9,0.0
sushi,10,0,tau,-14.641842739041266,0.45520444893741796,nan,nan,0.0806099441411307,exact_closed_form,0.0
sushi,10,0,pl,-14.935492478256078,2.355751570848198,nan,nan,,exact_closed_form,0.0
sushi,10,1,our,-15.013891645776855,0.24842939046725834,0.23522336429581664,0.15371080306963839,,bridge_sampling,0.002246864655021054
sushi,10,1,L1,-15.038723270170175,0.13073879330154603,1.0,0.017676193852650558,,banded_dp_D=9,0.0
sushi,10,1,L2,-15.07298063435217,0.05376020323882726,2.0,0.0010000087519296027,,banded_dp_D=9,0.0
sushi,10,1,tau,-14.60158461506802,0.46992705345478797,nan,nan,0.0864028668396701,exact_closed_form,0.0
sushi,10,1,pl,-14.295196217207348,1.1861733061374746,nan,nan,,exact_closed_form,0.0
news,10,0,our,-9.582179610793332,6.014567727202441,0.12078517889507066,1.481927979860269,,bridge_sampling,0.16941174641778006
news,10,0,L1,-11.361651081478499,5.247200350213572,1.0,0.3289125149129498,,banded_dp_D=9,0.0
news,10,0,L2,-12.951079397474158,3.616713695503259,2.0,0.03991197807751522,,banded_dp_D=9,0.0
news,10,0,tau,-11.658302208347267,4.78991573121396,nan,nan,0.5110139350307055,exact_closed_form,0.0
news,10,0,pl,-12.704673955420228,4.072865888758727,nan,nan,,exact_closed_form,0.0
news,10,1,our,-10.159561631352696,6.346803151429835,0.1315752326075138,1.4868296375324992,,bridge_sampling,0.1256827562862233
news,10,1,L1,-11.734418741471508,5.748179190910482,1.0,0.3455620684679375,,banded_dp_D=9,0.0
news,10,1,L2,-13.218606131218174,4.06788021263414,2.0,0.04288586374692821,,banded_dp_D=9,0.0
news,10,1,tau,-11.983138534519052,5.641059026514166,nan,nan,0.5411856906790257,exact_closed_form,0.0
news,10,1,pl,-12.996586741684416,4.5079408089475175,nan,nan,,exact_closed_form,0.0
