dataset,n,model,ll_mean,ll_sd,n_trials
news,10,L1,-11.548034911475003,0.26358654018809746,2
news,10,L2,-13.084842764346167,0.18916996757908036,2
news,10,our,-9.870870621073013,0.4082707420727175,2
news,10,pl,-12.850630348552322,0.20641351068246655,2
news,10,tau,-11.82072037143316,0.22969396901179376,2
sushi,10,L1,-15.036886194974672,0.002598016656579896,2
sushi,10,L2,-15.073681352287245,0.0009909648071818905,2
sushi,10,our,-15.019063615223406,0.007314269335490227,2
sushi,10,pl,-14.615344347731714,0.4527578281559497,2
sushi,10,tau,-14.621713677054643,0.02846679245933066,2
