dataset,n,alpha_min,alpha_hat_mean,alpha_hat_sd,beta_hat_mean,beta_hat_sd,kendall_mean,top1_mean,loglik_mean
news,10,0.01,0.12618148063865187,0.007633835716332041,1.4843762937525677,0.0034576656074012855,0.3487555555555555,0.52,-9.175465037184733
news,10,0.05,0.126172297529998,0.007642168209962434,1.4843945224924293,0.0034411568916510957,0.3487555555555555,0.52,-9.175465017290989
news,10,0.1,0.1261697922897112,0.007644112250300011,1.484399578055505,0.0034373094167908735,0.3487555555555555,0.52,-9.17546466720024
news,10,0.2,0.20000000005516044,5.208133087236338e-11,1.3497910660950865,0.017574064165251136,0.3542666666666666,0.517,-9.046039515249435
news,10,0.5,0.500000010026632,1.4160965185611788e-08,0.8674933114841993,0.017552338070226204,0.35639999999999994,0.48,-9.425922301363908
sushi,10,0.01,0.2518569871897184,0.02258920444506845,0.15192162412271198,0.001988533766472035,0.03817777777777775,0.079,-15.030416530279165
sushi,10,0.05,0.2518800134167374,0.022688498004135502,0.15190646810525088,0.002024040483111306,0.03817777777777775,0.079,-15.030419023589786
sushi,10,0.1,0.25188788894841113,0.022502128682194776,0.15189712849716985,0.0019456236472454379,0.03817777777777775,0.079,-15.030422148807606
sushi,10,0.2,0.26278420951337733,0.0074861975904125765,0.1475954377485313,0.004118107979034328,0.0381333333333333,0.079,-15.031346884625254
sushi,10,0.5,0.500000767793719,1.0770691468231673e-06,0.07720188727260349,0.0046838067035803775,0.0366222222222222,0.079,-15.022928466985707
