dataset,n,model,n_trials,alpha_mean,alpha_sd,beta_mean,beta_sd,Kendall_tau_mean,Spearman_rho_mean,@precision_1_mean,@precision_5_mean,@precision_10_mean,Kendall_tau_sd,Spearman_rho_sd,@precision_1_sd,@precision_5_sd,@precision_10_sd
football,10,our,50,0.40117054,0.14306027,0.46184178,0.08272639,0.06506074,0.08970343,0.07106667,0.51416000,1.00000000,0.02230480,0.03041305,0.00559524,0.01081526,0.00000000
football,10,L1,50,1.00000000,0.00000000,0.12935501,0.00476867,0.07135407,0.09710545,0.07240000,0.50826667,1.00000000,0.02300165,0.03164751,0.00680000,0.01182089,0.00000000
football,10,L2,50,2.00000000,0.00000000,0.01760409,0.00110225,0.06443259,0.09002343,0.08573333,0.50973333,1.00000000,0.02266047,0.03083977,0.00611156,0.01331265,0.00000000
football,10,tau,50,nan,nan,nan,nan,0.01986370,0.02534788,0.09360000,0.56744000,1.00000000,0.01227782,0.01689964,0.00666133,0.00993880,0.00000000
football,10,pl,50,nan,nan,nan,nan,0.05760593,0.07965899,0.19360000,0.66720000,1.00000000,0.02015547,0.02737062,0.03311824,0.01518362,0.00000000
football,10,pl_reg,50,nan,nan,nan,nan,0.05848889,0.07928081,0.17920000,0.64533333,1.00000000,0.02030985,0.02670898,0.04012514,0.01530490,0.00000000
football,100,our,50,0.10000000,0.00000000,0.01536534,0.00007843,0.23323227,0.33013054,0.01813333,0.12360000,0.25542667,0.00409105,0.00547838,0.00998132,0.01357449,0.00994564
football,100,L1,50,1.00000000,0.00000000,0.04895812,0.00000000,0.23334734,0.33025060,0.01973333,0.13288000,0.25745333,0.00415876,0.00552767,0.01184793,0.01192453,0.00916582
football,100,L2,50,2.00000000,0.00000000,0.04895812,0.00000000,0.23346888,0.33037639,0.02146667,0.16192000,0.27409333,0.00414869,0.00548231,0.00835756,0.01408333,0.00905589
football,100,tau,50,nan,nan,nan,nan,0.03046853,0.04540040,0.01693333,0.09146667,0.16001333,0.00481221,0.00715103,0.00669461,0.00586667,0.00587195
football,100,pl,50,nan,nan,nan,nan,0.06778769,0.09991752,0.02640000,0.10784000,0.19384000,0.00558454,0.00796724,0.01177266,0.00869284,0.00958569
football,100,pl_reg,50,nan,nan,nan,nan,0.05284412,0.07833649,0.02266667,0.09357333,0.17272000,0.00504057,0.00711967,0.01372751,0.01064561,0.00791605
basketball,10,our,50,1.08392201,0.04138745,0.17999038,0.01416426,0.18357333,0.25004444,0.21440000,0.57090667,1.00000000,0.01493570,0.02108537,0.02283701,0.00940048,0.00000000
basketball,10,L1,50,1.00000000,0.00000000,0.21092930,0.00414051,0.18273185,0.24881455,0.20920000,0.57048000,1.00000000,0.01514953,0.02132644,0.02285763,0.00927222,0.00000000
basketball,10,L2,50,2.00000000,0.00000000,0.03079851,0.00071531,0.17620741,0.24101010,0.21653333,0.57912000,1.00000000,0.01619592,0.02210819,0.02306474,0.00982915,0.00000000
basketball,10,tau,50,nan,nan,nan,nan,0.08381037,0.11460525,0.19893333,0.60760000,1.00000000,0.01723793,0.02199187,0.02224550,0.01109875,0.00000000
basketball,10,pl,50,nan,nan,nan,nan,0.17605333,0.23910949,0.26586667,0.72890667,1.00000000,0.01881084,0.02503030,0.04058768,0.00895794,0.00000000
basketball,10,pl_reg,50,nan,nan,nan,nan,0.14647111,0.19947960,0.23413333,0.70093333,1.00000000,0.01935707,0.02608260,0.03223911,0.01240573,0.00000000
basketball,100,our,50,0.10000015,0.00000010,0.03257746,0.01292393,0.56414497,0.75751705,0.13293333,0.41826667,0.45533333,0.00655116,0.00729394,0.02661361,0.01336330,0.00931999
